Kaptive version	Database name	Database version	Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491855.1_ASM649185v1_genomic	KL107	unknown	Untypeable	?+-!	99.84%	89.38%	n/a	16 / 20 (78.95%)	KL107_01_wzc,100.00%,100.00%;KL107_06_wzx_KL1,99.50%,100.00%;KL107_03_wza,100.00%,100.00%;KL107_07_gtr1,100.00%,100.00%;KL107_05_gne2,98.53%,100.00%;KL107_02_wzb,100.00%,100.00%;KL107_08_wzy_KL1,98.94%,24.44%,partial;KL107_14_gdr,100.00%,100.00%;KL107_13_qhbB,100.00%,100.00%;KL107_10_gtr2,99.48%,100.00%;KL107_15_galU,100.00%,100.00%;KL107_12_qhbA,100.00%,100.00%;KL107_11_itrA1,100.00%,100.00%;KL107_09_atr1,100.00%,13.46%,truncated;KL107_16_ugd,100.00%,4.43%,partial;KL107_16_ugd,100.00%,100.00%	?	3	KL1_04_gna1,100.00%,100.00%;KL17_17_gpi,100.00%,100.00%;KL147_21_pgm,100.00%,100.00%	0 / 20 (0.00%)		0		KL107_08_wzy_KL1,98.94%,24.44%,partial;KL107_09_atr1,100.00%,13.46%,truncated;KL107_16_ugd,100.00%,4.43%,partial	wzy-GI1,100.00%,100.00%;atr25-GI,99.68%,100.00%
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491865.1_ASM649186v1_genomic	KL195	unknown	Typeable	+-	99.95%	96.28%	-977	21 / 23 (91.30%)	KL195_01_wzc,100.00%,100.00%;KL195_20_gpi,99.82%,100.00%;KL195_23_pgm,99.12%,100.00%;KL195_04_gna2,100.00%,100.00%;KL195_09_wzx_KL11,100.00%,100.00%;KL195_19_ugd,100.00%,100.00%;KL195_15_tle,100.00%,100.00%;KL195_12_gtr27,100.00%,100.00%;KL195_05_rmlB,100.00%,100.00%;KL195_11_wzy_KL11,100.00%,100.00%;KL195_16_gtr29,100.00%,100.00%;KL195_03_wza,100.00%,100.00%;KL195_06_rmlD,100.00%,100.00%;KL195_10_gtr26,100.00%,100.00%;KL195_07_rmlA,100.00%,100.00%;KL195_18_galU,100.00%,100.00%;KL195_13_gtr28,100.00%,100.00%;KL195_17_itrA3,100.00%,100.00%;KL195_08_rmlC,100.00%,100.00%;KL195_14_atr6,100.00%,100.00%;KL195_02_wzb,100.00%,100.00%	?	1	KL11_21_pgt1,100.00%,100.00%	0 / 23 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491875.1_ASM649187v1_genomic	KL58	K58-Atr44-Ph	Untypeable	+-	98.92%	100.00%	2	21 / 23 (91.30%)	KL58_01_wzc,100.00%,100.00%;KL58_19_gpi,99.46%,100.00%;KL58_23_pgm,99.78%,100.00%;KL58_04_gna2,99.76%,100.00%;KL58_11_wzx_KL5,99.75%,100.00%;KL58_18_ugd,99.29%,100.00%;KL58_06_psaB,100.00%,100.00%;KL58_08_psaD,99.18%,100.00%;KL58_03_wza,100.00%,100.00%;KL58_10_psaF,99.71%,100.00%;KL58_14_gtr8,100.00%,100.00%;KL58_05_psaA,99.71%,100.00%;KL58_13_wzy_KL58,100.00%,100.00%;KL58_20_gne1,100.00%,100.00%;KL58_12_gtr118,99.37%,100.00%;KL58_15_gtr9,99.64%,100.00%;KL58_07_psaC,99.13%,100.00%;KL58_16_itrA2,100.00%,100.00%;KL58_09_psaE,100.00%,100.00%;KL58_02_wzb,100.00%,100.00%;KL58_21_atr42,100.00%,100.00%	?	2	KL79_20_galU,100.00%,100.00%;KL177_22_atr43,98.47%,100.00%	0 / 23 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		atr44-Ph,100.00%,100.00%
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491885.1_ASM649188v1_genomic	KL2	K2	Typeable		99.03%	100.00%	0	21 / 21 (100.00%)	KL2_01_wzc,100.00%,100.00%;KL2_20_gpi,100.00%,100.00%;KL2_12_kpsS1,100.00%,100.00%;KL2_22_pgm,100.00%,100.00%;KL2_04_gna2,100.00%,100.00%;KL2_19_ugd,100.00%,100.00%;KL2_11_wzx_KL2,100.00%,100.00%;KL2_06_psaB,100.00%,100.00%;KL2_03_wza,100.00%,100.00%;KL2_08_psaD,100.00%,100.00%;KL2_10_psaF,100.00%,100.00%;KL2_21_gne1,100.00%,100.00%;KL2_05_psaA,99.40%,100.00%;KL2_13_wzy_KL2,99.69%,100.00%;KL2_18_galU,100.00%,100.00%;KL2_16_gtr5,100.00%,100.00%;KL2_15_gtr4,100.00%,100.00%;KL2_07_psaC,100.00%,100.00%;KL2_14_gtr3,100.00%,100.00%;KL2_09_psaE,100.00%,100.00%;KL2_02_wzb,100.00%,100.00%	?	0		0 / 21 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491955.1_ASM649195v1_genomic	KL57	K57	Untypeable	+-	98.76%	99.99%	-3	18 / 21 (85.71%)	KL57_01_wzc,97.54%,100.00%;KL57_20_pgt1,99.35%,100.00%;KL57_09_wzx_KL57,98.99%,100.00%;KL57_21_pgm,99.56%,100.00%;KL57_04_gna2,100.00%,100.00%;KL57_14_gtr50,98.96%,100.00%;KL57_12_wzy_KL57,98.72%,100.00%;KL57_03_wza,99.74%,100.00%;KL57_13_gtr117,97.81%,100.00%;KL57_07_vioA,98.64%,100.00%;KL57_11_gtr116,98.60%,100.00%;KL57_19_gne1,100.00%,100.00%;KL57_05_rmlB,99.15%,100.00%;KL57_10_gtr115,98.76%,100.00%;KL57_06_rmlA,99.32%,100.00%;KL57_15_itrA2,100.00%,100.00%;KL57_08_vioB,97.62%,100.00%;KL57_02_wzb,97.20%,100.00%	?	3	KL166_17_gpi,98.04%,100.00%;KL181_17_ugd,97.62%,100.00%;KL133_16_galU,98.29%,100.00%	0 / 21 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491965.1_ASM649196v1_genomic	KL107	unknown	Untypeable	?+-!	99.82%	96.59%	n/a	16 / 20 (78.95%)	KL107_01_wzc,100.00%,100.00%;KL107_06_wzx_KL1,99.50%,100.00%;KL107_03_wza,100.00%,100.00%;KL107_05_gne2,98.53%,100.00%;KL107_07_gtr1,100.00%,88.08%,partial;KL107_02_wzb,100.00%,100.00%;KL107_14_gdr,100.00%,100.00%;KL107_16_ugd,100.00%,100.00%;KL107_13_qhbB,100.00%,100.00%;KL107_08_wzy_KL1,99.74%,100.00%;KL107_10_gtr2,99.74%,100.00%;KL107_09_atr1,99.36%,100.00%;KL107_15_galU,100.00%,100.00%;KL107_12_qhbA,100.00%,100.00%;KL107_11_itrA1,100.00%,100.00%;KL107_07_gtr1,100.00%,11.92%,partial	?	3	KL1_04_gna1,100.00%,100.00%;KL17_17_gpi,100.00%,100.00%;KL1_18_pgm,100.00%,100.00%	0 / 20 (0.00%)		0		KL107_07_gtr1,100.00%,88.08%,partial;KL107_07_gtr1,100.00%,11.92%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491975.1_ASM649197v1_genomic	KL8	K8	Typeable		99.98%	100.00%	0	27 / 27 (100.00%)	KL8_02_wzc,100.00%,100.00%;KL8_25_gpi,100.00%,100.00%;KL8_27_pgm,100.00%,100.00%;KL8_05_gna2,99.76%,100.00%;KL8_24_ugd,100.00%,100.00%;KL8_06_lgaA,100.00%,100.00%;KL8_13_wzx_KL8,100.00%,100.00%;KL8_07_lgaB,100.00%,100.00%;KL8_08_lgaC,100.00%,100.00%;KL8_15_gtr19,100.00%,100.00%;KL8_04_wza,100.00%,100.00%;KL8_18_fnlC,100.00%,100.00%;KL8_17_fnlB,100.00%,100.00%;KL8_09_lgaH,100.00%,100.00%;KL8_19_gtr20,100.00%,100.00%;KL8_16_fnlA,100.00%,100.00%;KL8_26_gne1,100.00%,100.00%;KL8_21_itrB2,100.00%,100.00%;KL8_01_wzy_KL8,100.00%,100.00%;KL8_14_gtr18,99.69%,100.00%;KL8_20_qnr3,100.00%,100.00%;KL8_23_galU,100.00%,100.00%;KL8_11_lgaF,100.00%,100.00%;KL8_12_lgaG,100.00%,100.00%;KL8_10_lgaI,100.00%,100.00%;KL8_22_itrA3,100.00%,100.00%;KL8_03_wzb,100.00%,100.00%	?	0		0 / 27 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006491985.1_ASM649198v1_genomic	KL25	K25	Untypeable	*	99.71%	100.00%	6	19 / 19 (100.00%)	KL25_01_wzc,100.00%,100.00%;KL25_14_gdr,100.00%,100.00%;KL25_17_gpi,100.00%,100.00%;KL25_19_pgm,100.00%,100.00%;KL25_04_gna2,100.00%,100.00%;KL25_16_ugd,100.00%,100.00%;KL25_06_mnaB,100.00%,100.00%;KL25_09_wzy_KL25,100.00%,100.00%;KL25_07_wzx_KL25,100.00%,100.00%;KL25_13_qhbB,98.95%,100.00%;KL25_03_wza,100.00%,100.00%;KL25_05_mnaA,100.00%,100.00%;KL25_18_gne1,100.00%,100.00%;KL25_10_gtr52,80.00%,100.00%,below_id_threshold;KL25_08_gtr51,95.83%,100.00%;KL25_15_galU,100.00%,100.00%;KL25_12_qhbA,100.00%,100.00%;KL25_11_itrA1,100.00%,99.44%;KL25_02_wzb,100.00%,100.00%	?	0		0 / 19 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492055.1_ASM649205v1_genomic	KL147	unknown	Typeable		100.00%	100.00%	0	21 / 21 (100.00%)	KL147_01_wzc,100.00%,100.00%;KL147_16_gdr,100.00%,100.00%;KL147_20_gpi,100.00%,100.00%;KL147_17_orf_KL15,100.00%,100.00%;KL147_09_wzx_KL15,100.00%,100.00%;KL147_10_wzy_KL15,100.00%,100.00%;KL147_21_pgm,100.00%,100.00%;KL147_04_gna3,100.00%,100.00%;KL147_19_ugd,100.00%,100.00%;KL147_12_gtr36,100.00%,100.00%;KL147_15_qhbB,100.00%,100.00%;KL147_03_wza,100.00%,100.00%;KL147_11_gtr35,100.00%,100.00%;KL147_08_gtr34,100.00%,100.00%;KL147_07_dgaC,100.00%,100.00%;KL147_05_dgaA,100.00%,100.00%;KL147_18_galU,100.00%,100.00%;KL147_14_qhbC,100.00%,100.00%;KL147_13_itrA1,100.00%,100.00%;KL147_06_dgaB,100.00%,100.00%;KL147_02_wzb,100.00%,100.00%	?	0		0 / 21 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492065.1_ASM649206v1_genomic	KL107	unknown	Untypeable	+-	99.83%	96.59%	-778	15 / 19 (78.95%)	KL107_01_wzc,100.00%,100.00%;KL107_14_gdr,100.00%,100.00%;KL107_16_ugd,100.00%,100.00%;KL107_06_wzx_KL1,99.50%,100.00%;KL107_13_qhbB,100.00%,100.00%;KL107_08_wzy_KL1,99.74%,100.00%;KL107_10_gtr2,99.74%,100.00%;KL107_03_wza,100.00%,100.00%;KL107_07_gtr1,100.00%,100.00%;KL107_05_gne2,98.53%,100.00%;KL107_09_atr1,99.36%,100.00%;KL107_15_galU,100.00%,100.00%;KL107_12_qhbA,100.00%,100.00%;KL107_11_itrA1,100.00%,100.00%;KL107_02_wzb,100.00%,100.00%	?	3	KL17_17_gpi,100.00%,100.00%;KL1_18_pgm,100.00%,100.00%;KL1_04_gna1,100.00%,100.00%	0 / 19 (0.00%)		0			
