Kaptive version	Database name	Database version	Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1001_10	KL22	K22	Typeable	?-!	99.73%	38.41%	n/a	12 / 20 (61.11%)	KL22_14_ghl19,100.00%,63.18%,partial;KL22_13_ptr12,100.00%,65.71%,partial;KL22_11_wzx_KL22,100.00%,64.01%,partial;KL22_10_gtr83,99.48%,79.70%,partial;KL22_17_atr12,99.70%,97.53%,partial;KL22_16_gnd,99.46%,39.52%,partial;KL22_05_wzb,100.00%,100.00%;KL22_06_wzc,90.38%,14.41%,partial;KL22_04_wza,100.00%,21.23%,partial;KL22_03_wzi,100.00%,90.00%;KL22_04_wza,98.80%,21.84%,partial;KL22_18_ugd1,99.71%,88.17%,partial	?	0		0 / 20 (0.00%)		4	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL40_05_gtr151,99.18%,96.50%;KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL22_14_ghl19,100.00%,63.18%,partial;KL22_13_ptr12,100.00%,65.71%,partial;KL22_11_wzx_KL22,100.00%,64.01%,partial;KL22_10_gtr83,99.48%,79.70%,partial;KL22_17_atr12,99.70%,97.53%,partial;KL22_16_gnd,99.46%,39.52%,partial;KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated;KL22_06_wzc,90.38%,14.41%,partial;KL22_04_wza,100.00%,21.23%,partial;KL22_04_wza,98.80%,21.84%,partial;KL22_18_ugd1,99.71%,88.17%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1001_20	KL22	K37	Untypeable	-!	99.63%	20.53%	-17713	4 / 18 (22.22%)	KL22_03_wzi,100.00%,100.00%;KL22_01_galF,100.00%,100.00%;KL22_02_cpsACP,99.33%,100.00%;KL22_04_wza,100.00%,10.53%,partial	?	0		0 / 18 (0.00%)		4	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL40_05_gtr151,99.18%,96.50%;KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated;KL22_04_wza,100.00%,10.53%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1001_30	KL22	K37	Untypeable	?+-!	99.71%	100.00%	n/a	13 / 20 (66.67%)	KL22_06_wzc,100.00%,69.24%,partial;KL22_07_wzy_KL22,99.48%,100.00%;KL22_09_gtr82,98.99%,100.00%;KL22_10_gtr83,99.59%,100.00%;KL22_08_gtr81,100.00%,100.00%;KL22_11_wzx_KL22,100.00%,23.82%,partial;KL22_15_wcaJ11,99.79%,100.00%;KL22_14_ghl19,100.00%,100.00%;KL22_13_ptr12,100.00%,100.00%;KL22_12_rutE,99.73%,100.00%;KL22_11_wzx_KL22,100.00%,67.04%,partial;KL22_01_galF,100.00%,100.00%;KL22_18_ugd1,99.74%,100.00%	?	3	KL69_19_gnd,94.12%,3.74%,partial;KL40_05_gtr151,99.18%,96.50%;KL150_19_gae,100.00%,100.00%	0 / 20 (0.00%)		3	KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated;KL4_04_nhaP2-1,80.19%,88.19%,truncated	KL22_06_wzc,100.00%,69.24%,partial;KL22_11_wzx_KL22,100.00%,23.82%,partial;KL22_11_wzx_KL22,100.00%,67.04%,partial;KL69_19_gnd,94.12%,3.74%,partial;KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated;KL4_04_nhaP2-1,80.19%,88.19%,truncated	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1001_40	KL22	K22	Typeable	?+!	99.73%	100.00%	n/a	20 / 20 (100.00%)	KL22_12_rutE,99.73%,100.00%;KL22_13_ptr12,100.00%,74.83%,partial;KL22_11_wzx_KL22,100.00%,40.41%,partial;KL22_16_gnd,99.79%,100.00%;KL22_15_wcaJ11,99.79%,100.00%;KL22_14_ghl19,100.00%,100.00%;KL22_17_atr12,99.70%,97.53%,partial;KL22_13_ptr12,100.00%,25.17%,partial;KL22_18_ugd1,99.74%,100.00%;KL22_06_wzc,100.00%,100.00%;KL22_03_wzi,100.00%,100.00%;KL22_04_wza,99.74%,100.00%;KL22_07_wzy_KL22,99.48%,100.00%;KL22_09_gtr82,98.99%,100.00%;KL22_01_galF,100.00%,100.00%;KL22_10_gtr83,99.59%,100.00%;KL22_11_wzx_KL22,100.00%,53.39%,partial;KL22_08_gtr81,100.00%,100.00%;KL22_02_cpsACP,99.33%,100.00%;KL22_05_wzb,100.00%,100.00%	?	1	KL150_19_gae,100.00%,100.00%	0 / 20 (0.00%)		4	KL40_05_gtr151,99.18%,96.50%;KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL22_13_ptr12,100.00%,74.83%,partial;KL22_11_wzx_KL22,100.00%,40.41%,partial;KL22_17_atr12,99.70%,97.53%,partial;KL22_13_ptr12,100.00%,25.17%,partial;KL115_16_rmlB,79.14%,78.31%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated;KL22_11_wzx_KL22,100.00%,53.39%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1001_70	KL22	K22	Untypeable	?+!	99.76%	100.00%	n/a	18 / 18 (100.00%)	KL22_18_ugd1,99.74%,100.00%;KL22_06_wzc,100.00%,100.00%;KL22_16_gnd,99.79%,100.00%;KL22_15_wcaJ11,99.79%,100.00%;KL22_11_wzx_KL22,100.00%,100.00%;KL22_03_wzi,100.00%,100.00%;KL22_14_ghl19,100.00%,100.00%;KL22_13_ptr12,100.00%,100.00%;KL22_04_wza,99.74%,100.00%;KL22_07_wzy_KL22,99.48%,100.00%;KL22_12_rutE,99.73%,100.00%;KL22_17_atr12,99.70%,97.53%,partial;KL22_09_gtr82,98.99%,100.00%;KL22_01_galF,100.00%,100.00%;KL22_10_gtr83,99.59%,100.00%;KL22_08_gtr81,100.00%,100.00%;KL22_02_cpsACP,99.33%,100.00%;KL22_05_wzb,100.00%,100.00%	?	2	KL40_05_gtr151,99.18%,96.50%;KL150_19_gae,100.00%,100.00%	0 / 18 (0.00%)		3	KL115_16_rmlB,79.14%,78.31%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated;KL4_04_nhaP2-1,80.19%,88.19%,truncated	KL115_16_rmlB,79.14%,78.31%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated;KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL22_17_atr12,99.70%,97.53%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1001	KL22	K22	Untypeable	?+!	99.76%	100.00%	n/a	18 / 18 (100.00%)	KL22_18_ugd1,99.74%,100.00%;KL22_06_wzc,100.00%,100.00%;KL22_16_gnd,99.79%,100.00%;KL22_15_wcaJ11,99.79%,100.00%;KL22_11_wzx_KL22,100.00%,100.00%;KL22_03_wzi,100.00%,100.00%;KL22_14_ghl19,100.00%,100.00%;KL22_13_ptr12,100.00%,100.00%;KL22_04_wza,99.74%,100.00%;KL22_07_wzy_KL22,99.48%,100.00%;KL22_12_rutE,99.73%,100.00%;KL22_17_atr12,99.70%,97.53%,partial;KL22_09_gtr82,98.99%,100.00%;KL22_01_galF,100.00%,100.00%;KL22_10_gtr83,99.59%,100.00%;KL22_08_gtr81,100.00%,100.00%;KL22_02_cpsACP,99.33%,100.00%;KL22_05_wzb,100.00%,100.00%	?	2	KL40_05_gtr151,99.18%,96.50%;KL150_19_gae,100.00%,100.00%	0 / 18 (0.00%)		3	KL115_16_rmlB,79.14%,78.31%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated;KL4_04_nhaP2-1,80.19%,88.19%,truncated	KL115_16_rmlB,79.14%,78.31%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated;KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL22_17_atr12,99.70%,97.53%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1024_10	KL57	K57	Untypeable	?-!	99.21%	39.05%	n/a	9 / 20 (44.44%)	KL57_06_wzc,99.78%,62.78%,partial;KL57_07_wbaP23,99.73%,77.22%,partial;KL57_03_wzi,98.75%,100.00%;KL57_04_wza,98.70%,81.66%,partial;KL57_15_gnd,100.00%,94.88%,partial;KL57_16_manC,100.00%,14.62%,partial;KL57_01_galF,99.67%,100.00%;KL57_16_manC,99.72%,76.13%,partial;KL57_17_manB,99.55%,49.09%,partial	?	0		0 / 20 (0.00%)		6	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL40_03_gtr149,99.08%,88.06%,partial;KL40_05_gtr151,99.21%,100.00%;KL40_04_gtr150,100.00%,8.35%,partial;KL105_18_rmlB,80.89%,69.30%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL40_03_gtr149,99.08%,88.06%,partial;KL40_04_gtr150,100.00%,8.35%,partial;KL57_06_wzc,99.78%,62.78%,partial;KL57_07_wbaP23,99.73%,77.22%,partial;KL105_18_rmlB,80.89%,69.30%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated;KL57_04_wza,98.70%,81.66%,partial;KL57_15_gnd,100.00%,94.88%,partial;KL57_16_manC,100.00%,14.62%,partial;KL57_16_manC,99.72%,76.13%,partial;KL57_17_manB,99.55%,49.09%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1024_20	KL57	K57	Typeable	?+-!	99.56%	69.63%	n/a	15 / 18 (83.33%)	KL57_13_atr26,99.39%,100.00%;KL57_12_ghl51,100.00%,63.29%,partial;KL57_14_gtr219,100.00%,51.48%,truncated;KL57_09_gtr217,99.47%,100.00%;KL57_10_gtr218,100.00%,82.37%,partial;KL57_08_wzx_KL57,100.00%,59.56%,partial;KL57_03_wzi,98.96%,100.00%;KL57_04_wza,98.94%,100.00%;KL57_01_galF,99.67%,100.00%;KL57_05_wzb,100.00%,100.00%;KL57_06_wzc,98.96%,13.41%,partial;KL57_16_manC,100.00%,100.00%;KL57_17_manB,99.78%,100.00%;KL57_18_ugd1,99.74%,99.91%;KL57_15_gnd,100.00%,46.62%,partial	?	1	KL114_02_cpsACP,100.00%,100.00%	0 / 18 (0.00%)		6	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL40_03_gtr149,99.19%,100.00%;KL40_04_gtr150,99.45%,45.33%,partial;KL40_05_gtr151,100.00%,32.28%,partial;KL105_18_rmlB,80.89%,69.30%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL40_04_gtr150,99.45%,45.33%,partial;KL40_05_gtr151,100.00%,32.28%,partial;KL57_12_ghl51,100.00%,63.29%,partial;KL57_14_gtr219,100.00%,51.48%,truncated;KL57_10_gtr218,100.00%,82.37%,partial;KL57_08_wzx_KL57,100.00%,59.56%,partial;KL105_18_rmlB,80.89%,69.30%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated;KL57_06_wzc,98.96%,13.41%,partial;KL57_15_gnd,100.00%,46.62%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1024_30	KL57	K57	Typeable	?+-!	99.61%	98.74%	n/a	17 / 18 (94.44%)	KL57_06_wzc,99.72%,100.00%;KL57_03_wzi,98.96%,100.00%;KL57_04_wza,98.94%,100.00%;KL57_01_galF,99.67%,100.00%;KL57_05_wzb,100.00%,100.00%;KL57_08_wzx_KL57,100.00%,100.00%;KL57_15_gnd,100.00%,100.00%;KL57_16_manC,100.00%,100.00%;KL57_17_manB,99.78%,100.00%;KL57_12_ghl51,100.00%,100.00%;KL57_07_wbaP23,99.75%,83.79%,partial;KL57_11_wzy_KL57,98.73%,100.00%;KL57_14_gtr219,99.74%,100.00%;KL57_18_ugd1,99.74%,99.91%;KL57_09_gtr217,99.47%,100.00%;KL57_10_gtr218,100.00%,100.00%;KL57_13_atr26,99.39%,100.00%	?	1	KL114_02_cpsACP,100.00%,100.00%	0 / 18 (0.00%)		6	KL40_03_gtr149,99.19%,100.00%;KL40_04_gtr150,99.75%,100.00%;KL40_05_gtr151,99.21%,100.00%;KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL105_18_rmlB,80.89%,69.30%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL105_18_rmlB,80.89%,69.30%,truncated;KL103_18_rmlA,76.68%,87.47%,truncated;KL57_07_wbaP23,99.75%,83.79%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	2018-01-1024_40	KL57	K57	Untypeable	?+-!	99.61%	100.00%	n/a	19 / 20 (94.44%)	KL57_08_wzx_KL57,100.00%,100.00%;KL57_12_ghl51,100.00%,100.00%;KL57_07_wbaP23,100.00%,82.74%,partial;KL57_11_wzy_KL57,98.73%,100.00%;KL57_09_gtr217,99.47%,100.00%;KL57_10_gtr218,100.00%,100.00%;KL57_13_atr26,99.39%,100.00%;KL57_14_gtr219,100.00%,53.99%,partial;KL57_06_wzc,99.72%,100.00%;KL57_03_wzi,98.96%,100.00%;KL57_04_wza,98.94%,100.00%;KL57_01_galF,99.67%,100.00%;KL57_05_wzb,100.00%,100.00%;KL57_07_wbaP23,96.55%,6.08%,partial;KL57_15_gnd,100.00%,100.00%;KL57_16_manC,100.00%,100.00%;KL57_17_manB,99.78%,100.00%;KL57_18_ugd1,99.74%,99.91%;KL57_14_gtr219,99.15%,30.56%,partial	?	4	KL114_02_cpsACP,100.00%,100.00%;KL40_03_gtr149,99.19%,100.00%;KL40_04_gtr150,99.75%,100.00%;KL40_05_gtr151,99.21%,100.00%	0 / 20 (0.00%)		3	KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL105_18_rmlB,80.89%,69.30%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated	KL57_07_wbaP23,100.00%,82.74%,partial;KL57_14_gtr219,100.00%,53.99%,partial;KL4_04_nhaP2-1,80.19%,88.19%,truncated;KL105_18_rmlB,80.89%,69.30%,truncated;KL148_16_rmlA,76.68%,87.47%,truncated;KL57_07_wbaP23,96.55%,6.08%,partial;KL57_14_gtr219,99.15%,30.56%,partial	
